ID,description,subject,title,runtime
ykhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"S.T.E.P. VIDEO 1 ""R.J.R. AND THE INDUSTRY"" COMMODITY #253781 18:04. (RUNNING TIME 0:19:10).",
yldw0111,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,INDY 500 FILMS,
ylwk0146,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"NIGHTLINE: SMOKING ISSUE, WJLA-TV, ABC, WASHINGTON, DC",
ymhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,BE MORE YOU '82 (19820000). RUNNING TIME 0:03:41.,
ymhl0191,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,TEAM KOOL GREEN--KOOL CAR ACTION B-ROLL 1998 SEASON,
ympj0015,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,BRAZEN BARBARA TWO 2-95 (950200) OFF-LINE FROM AVID THREE VERSIONS (RUNNING TIME 13:35MIN).; BRAZEN BARBARA TWO 2-95 OFF-LINE FROM AVID THREE VERSIONS,
ymxb0079,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,NO BULL 5 TRAINING VIDEO,
ynhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,ECLIPSE A WHOLE NEW WORLD FOR SMOKERS. RUNNING TIME 0:14:05.,
ynpj0015,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,BARBARA WITH MUSIC,
ypgl0191,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,HOW SAFE?,
ypgp0190,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,Video excerpt of the Red Skelton Show,
yphb0039,,tobacco; cigarette; deposition; <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,DEPOSITION OF STEPHEN STRAWSBURG FALISE VS. AMERICAN TOBACCO,4:12:00
ypnh0063,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,LORILLARD PROGRAM TAPE 2,
yqgl0191,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,NICOTINE ADDICTION,
yqgp0190,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,Video NBC Smoking and Health Clip - TI/Allen,
yqgv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,PERCEPTION ANALYZER TESTING FEDERAL LAWSUIT ADVERTISING DEVELOPMENT 990607 - 990610,
yqyg0114,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,PHILIP MORRIS NBC NIGHTLY NEWS LEAD STORY ON SMOKING,
yrdv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,PHILIP MORRIS SELECT REEL-WINDOW DUB 940900 42: 30 MINUTES,
yrfp0190,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"HEW Public Service Television Advertisements, PHS Video Tapes of Public Health Service Announcements: Anti-Smoking Spots (Video Clips)",
yrgp0190,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,Video Face the Nation - Cullman Interview,
yrhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,RETAIL CONVERSION SALE TEAM PRE-WORK TRAINING VIDEO. MARCH 2002 (20020300). RUNNING TIME 18:00.,
yrpl0001,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,QUIT ASSIST TV ADS,
ytgb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,R.J. REYNOLDS TOBACCO COMPANY TOBACCO HEARING APRIL 14 1994 (940414) JIM JOHNSTON'S TESTIMONY NEWS HIGHLIGHTS (RUNNING TIME 35.10MIN).,
yxgb0191,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,YSP GENERAL MARKET COMMERCIALS,
yxvv0231,,tobacco; cigarette; vaping; innovation; vaporizer; design; e-cigarette; nicotine; <a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"""Juul Labs Founder' Story""",
yxxb0079,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"NIGHTLINE (ABC), JANUARY 12, 1989 (890112) 11:30 PM. ""PREMIER"" (DICK KAMPE), 23: 51. (COMMERCIALS EDITED OUT).",
yydn0006,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Corbet Monica, Sammy Davis, Jr. Tony Orlando, Berneddette Peters",
yygl0191,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,Califano ti55390007 Dwyer Rant.wmv,
yygp0190,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,I Love Lucy video,
yygv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,MARLBORO GRIDIRON TEST PROMOTION,
yyhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"NEWS COVERAGE 11-27-85-12-1-85 (19851127-19851201) CNN, WXII & WGHP. RUNNING TIME 0:15:20.",
yzbg0182,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"PHILIP MORRIS U.S.A. ""DAVE BERAN ADDRESS - STATE OF THE BUSINESS, NATIONAL LEVEL"" RT: 4:37 951222 TOTAL RUNNING TIME: 15:14",
yzdk0146,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"PUBLIC ISSUES ON SMOKING"" CALL-IN DEBATE; C-SPAN; TAPE 1",
yzgb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"RJ REYNOLDS TOBACCO COMPANY. TOBACCO ACTION COALITION WASHINGTON BUS TRIP, MARCH 9, 1994 (940309) LENGTH 16:39. RUNNING TIME 17:10.",
yzhh0257,Deposition of Matthew Harbaugh in Staubus et al v Purdue Pharma LP et al; in 4 parts,lawsuit; legal activity; litigation; opioids; sales; marketing; <a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Deposition of John Gillies, Vice President of Global Security",
zfhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,SM 199 GENUINE TASTE EDIT MASTER- 2 ENDINGS SPLIT TRACK NO MUSIC 2ND ENDING ONE MIN. PAST 1ST ENDING 11-30-94 (941130) DUB 10-31-96 (961031) (RUNNING TIME 24:49MIN).,
zfxh0257,Deposition of Gail Tetzlaf in Re: Opioid Litigation; in 7 parts,lawsuit; legal activity; litigation; opioids; sales; marketing; <a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Deposition of Gail Tetzlaff, Compliance",
zgdg0182,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,MACHINE ROOM - LONNIE P (MACHCHEST ONLY),
zgfk0146,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,THE TI; 700 CLUB/TAPE 2; CBN-TV,
zghb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,SM 111 1992 (920000) NATIONAL SALES CONFERENCE LENGTH 30:37 02-02-92 (920202) DUB 10-30-96 (961030) (RUNNING TIME 32:14MIN).,
zghj0223,,tobacco; cigarette;<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>; <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,COALITION FOR RESPONSIBLE TOBACCO RETAILING 'WE CARD STORY' REVISED 970212 LENGTH 10-20 MIN,
zgkv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"""FATHER KNOWS BEST"" (SUBTITLED) ZYRA-9313 ""FOLLOW THE LEADER-SPANISH"" (SUBTITLE) ZYRA-9314 YOUTH SMOKING PREVENTION PHILIP MORRIS USA 990900",
zgwm0256,Clip of interview with physician regarding slides used in drug company presentation <div><div>Part of the UCSF-JHU Opioid Industry Documents Archive; McKinsey Documents Collection</div><div>Bates#: MCK-MAAG-0159864</div></div>,opioids; physician interview; sales and marketing,Dr William - MOA,
zhdh0182,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,YOUNG AND RUBICAM PHILIP MORRIS - 1. 'LISTENING' :30 - 2. '10 O'CLOCK' :30 - 3. 'ADVICE' :30 - 4. 'BEING THERE' :30.990517.,
zhgb0191,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"MARLBORO 670000, 680000, 690000 REEL NUMBER 12",
zjdv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"PHILIP MORRIS MANAGEMENT CORP. INTERVIEWS 1.) GEORGE BRENDA CHELSEA GROUP LTD. 2.) PRESIDENT REDI-FLOORS, ATLANTA",
zjhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"SAFE CIGARETTES CNN MONEYLINE 4:10 P.M. FEBRUARY 17, 1988 (880217). (RUNNING TIME 0:01:06).",
zjhv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"PHILIP MORRIS / Y&R YSP CAMPAIGN (NO BARS, TITLE CARDS) ""BUS"" W/SGW : 30 ""WHO YOU ARE"" W/SGW : 30 ""BEING DIFFERENT"" W/SGW : 30",
zjlw0036,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,CLUB BENSON & HEDGES,
zjxb0079,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,PR 162 SUPPORT THE LAW - DANNY GLOVER 7:44 (RUNNING TIME 7:12MIN).; PR 162 SUPPORT THE LAW - DANNY GLOVER 7:44 [loop?],
zkch0182,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,PHILIP MORRIS SELECT REEL - WINDOW DUB 940900,
zkhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,DISCOVER A NEW FREEDOM TO ENJOY SMOKING ECLIPSE. (RUNNING TIME 0:14:01).,
zknh0063,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"LORILLARD MANAGEMENT CONFERENCE: MORING,T.; QUALITY ASSURANCE",
zkwk0146,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"INTERVIEW WITH GUY SMITH. GOOD MORNING, AMERICA, ABC TV,  7:38 AM",
zlpj0015,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,SME 195 NASCAR WINSTON RACING SERIES JEFF WILDUNG NORTHEASTER REGION AND ECLIPSE NEWS SEGMENT LENGTH 1:00 1996 (960000) DUB 11-04-96 (961104),
zmdh0182,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,ARCHIVE LOCATION VARIANCE SHEET,
zmhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,HOTELVISION R.J. REYNOLDS CAMEL LIGHTS - VANTAGE - SALEM LIGHTS (NO AUDIO). RUNNING TIME 0:05:17.,
